Facility Name,Address,County,City,Zip,Number of Beds,Location
Willing Helpers' Home for Women,"226 West Madison Ave, P.O. Box O",Fulton,Johnstown,12095,20,"226 West Madison Ave, P.O. Box O
Johnstown, NY 12095
(42.99921001900003, -74.37816999599994)"
"Valley Residential Services, Inc.",161 Valley Drive,Herkimer,Herkimer,13350,76,"161 Valley Drive
Herkimer, NY 13350
(43.04177853200008, -74.95531698999997)"
"Madison York Assisted Living Community, LLC",112-14 Corona Avenue,Queens,Flushing,11368,226,"112-14 Corona Avenue
Flushing, NY 11368
(40.739630014000056, -73.84824596099998)"
Bickford Home,56 Main Street,Wayne,Macedon,14502,24,"56 Main Street
Macedon, NY 14502
(43.06872998500006, -77.30233002299997)"
Heritage Manor of Ransomville Assisted Living Program,3509 Ransomville Road,Niagara,Ransomville,14131,142,"3509 Ransomville Road
Ransomville, NY 14131
(43.24462099600004, -78.90865404099998)"
"New Homestead Home for Adults, Inc.",82-45 Grenfell Street,Queens,Kew Gardens,11415,163,"82-45 Grenfell Street
Kew Gardens, NY 11415
(40.70894998500006, -73.83082803099995)"
Vassar-Warner Home,52 South Hamilton Street,Dutchess,Poughkeepsie,12601,58,"52 South Hamilton Street
Poughkeepsie, NY 12601
(41.69913899200003, -73.92457400199999)"
RPH East,20 Crossing Creek Drive,Monroe,Fairport,14450,64,"20 Crossing Creek Drive
Fairport, NY 14450
(43.069006383000044, -77.40563594699995)"
Sunrise of Huntington,300 West Hills Road,Suffolk,Huntington Station,11746,130,"300 West Hills Road
Huntington Station, NY 11746
(40.827355013000044, -73.42095103699995)"
The Bristal at Sayville,129 Lakeland Avenue,Suffolk,Sayville,11782,155,"129 Lakeland Avenue
Sayville, NY 11782
(40.74454768700008, -73.08749496599995)"
Beacon Pointe Memory Care Community,1 Emma Lane,Saratoga,Clifton Park,12065,52,"1 Emma Lane
Clifton Park, NY 12065
(42.867299986000035, -73.79550803199999)"
Westchester Center for Independent and Assisted Living,75 Stratton Street South,Westchester,Yonkers,10701,195,"75 Stratton Street South
Yonkers, NY 10701
(40.94255304100005, -73.87639178599994)"
Elderwood Assisted Living at West Seneca,580 Orchard Park Road,Erie,West Seneca,14224,128,"580 Orchard Park Road
West Seneca, NY 14224
(42.83357598500004, -78.77699898499998)"
Pounder Hall EHP,1400 Utica Street,Oneida,Oriskany,13424,10,"1400 Utica Street
Oriskany, NY 13424
(43.16184999600006, -75.34109996399997)"
Brookdale Painted Post,120 Creekside Drive,Steuben,Painted Post,14870,110,"120 Creekside Drive
Painted Post, NY 14870
(42.14324499600008, -77.12443502499997)"
Home of the Good Shepherd Wilton,60 Waller Road,Saratoga,Wilton,12831,54,"60 Waller Road
Wilton, NY 12831
(43.130838002000075, -73.76835896299997)"
Hidden Gem Home for Adults,11 Wittridge Street,Suffolk,Lake Ronkonkoma,11779,18,"11 Wittridge Street
Lake Ronkonkoma, NY 11779
(40.81965501900004, -73.10909797099998)"
Heritage at The Plains at Parish Homestead,163 Heritage Circle,Otsego,Oneonta,13820,53,"163 Heritage Circle
Oneonta, NY 13820
(42.44432063800008, -75.11341572999999)"
Sunrise of Holbrook,320 Patchogue-Holbrook Road,Suffolk,Holbrook,11741,109,"320 Patchogue-Holbrook Road
Holbrook, NY 11741
(40.78385901200005, -73.04316198099997)"
Mohegan Park,3441 Lexington Avenue,Westchester,Mohegan Lake,10547,150,"3441 Lexington Avenue
Mohegan Lake, NY 10547
(41.31885900200007, -73.86006000199995)"
Sunrise of East Setauket,1 Sunrise Drive,Suffolk,East Setauket,11733,109,"1 Sunrise Drive
East Setauket, NY 11733
(40.93506401900004, -73.10903804099996)"
Home Sweet Home on the Hudson,38 Prospect Avenue,Greene,Catskill,12414,60,"38 Prospect Avenue
Catskill, NY 12414
(42.217360005000046, -73.85746001899997)"
Fredonia Place,50 Howard Street,Chautauqua,Fredonia,14063,84,"50 Howard Street
Fredonia, NY 14063
(42.43151398500004, -79.32641697999998)"
Amber Court of Pelham Gardens,1800 Waring Avenue,Bronx,Bronx,10469,200,"1800 Waring Avenue
Bronx, NY 10469
(40.860490017000075, -73.83398197299994)"
Morgan Estates,4588 Morgan View Road,Livingston,Geneseo,14454,78,"4588 Morgan View Road
Geneseo, NY 14454
(42.79578998800008, -77.77879000499996)"
Crimson Ridge Gardens,1 Treeline Drive,Monroe,Rochester,14612,52,"1 Treeline Drive
Rochester, NY 14612
(43.25202100100006, -77.67502698899995)"
Walden Place,839 Bennie Rd.,Cortland,Cortland,13045,86,"839 Bennie Rd.
Cortland, NY 13045
(42.56520001800004, -76.21961997599993)"
Valehaven Home for Adults,"2989 North Main Street, Box 683",Clinton,Peru,12972,40,"2989 North Main Street, Box 683
Peru, NY 12972
(44.58002501400006, -73.52794502599994)"
Brentland Woods,3831 East Henrietta Road,Monroe,Henrietta,14467,60,"3831 East Henrietta Road
Henrietta, NY 14467
(43.046560019000026, -77.62340301499995)"
Lutheran Home Cottages,114 Utica Road,Oneida,Clinton,13323,14,"114 Utica Road
Clinton, NY 13323
(43.05672001700003, -75.36268001199994)"
"Bayview Rest Home, LLC",143 East Main Street,Suffolk,Babylon,11702,75,"143 East Main Street
Babylon, NY 11702
(40.69719801200006, -73.32066198499996)"
Argyle Center for Independent Living,4573 State Route 40,Washington,Argyle,12809,35,"4573 State Route 40
Argyle, NY 12809
(43.20368000900004, -73.48667001999996)"
Harbor Terrace Adult Home and Assisted Living,110 Henderson Avenue,Richmond,Staten Island,10301,363,"110 Henderson Avenue
Staten Island, NY 10301
(40.64027998600005, -74.09591502199999)"
"Bristol Village, Inc.",8455 Clarence Center Road,Erie,Clarence Center,14032,110,"8455 Clarence Center Road
Clarence Center, NY 14032
(43.012115007000034, -78.67888796999995)"
Elderwood Assisted Living at Cheektowaga,229 Bennett Road,Erie,Cheektowaga,14227,80,"229 Bennett Road
Cheektowaga, NY 14227
(42.888136014000054, -78.74613899699995)"
"West Side Federation For Senior And Supportive Housing, Inc.",109 West 129th Street,New York,New York,10027,99,"109 West 129th Street
New York, NY 10027
(40.81075901200006, -73.94412596399997)"
The Arbors at Westbury,45 Jericho Turnpike,Nassau,Jericho,11753,200,"45 Jericho Turnpike
Jericho, NY 11753
(40.778026071000056, -73.56397932599998)"
The Sentinel of Port Jervis,2247 Greenville Turnpike,Orange,Port Jervis,12771,160,"2247 Greenville Turnpike
Port Jervis, NY 12771
(41.35183801900007, -74.68048202599994)"
"Longview, an Ithacare Community",1 Bella Vista Drive,Tompkins,Ithaca,14850,96,"1 Bella Vista Drive
Ithaca, NY 14850
(42.41584699200007, -76.50401803499994)"
Atria Kew Gardens,117-01 84th Avenue,Queens,Kew Gardens,11418,175,"117-01 84th Avenue
Kew Gardens, NY 11418
(40.704139988000065, -73.83433200099995)"
Adirondack Manor HFA D.B.A Montcalm Manor HFA,45 Montcalm Street,Essex,Ticonderoga,12883,40,"45 Montcalm Street
Ticonderoga, NY 12883
(43.848579993000044, -73.43024002999994)"
Brentwood Adult Home,147 Second Avenue,Suffolk,Brentwood,11717,30,"147 Second Avenue
Brentwood, NY 11717
(40.778680002000044, -73.23257899499998)"
Belle Harbor Manor,209 Beach 125th Street,Queens,Belle Harbor,11694,162,"209 Beach 125th Street
Belle Harbor, NY 11694
(40.577610005000054, -73.84507600899997)"
Elderwood Village at Bassett Park,245 Bassett Road,Erie,Williamsville,14221,105,"245 Bassett Road
Williamsville, NY 14221
(42.99596199000007, -78.72853901199994)"
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,86,"400 County Line Road
Massapequa, NY 11758
(40.68509001800004, -73.42656297299999)"
The Amberleigh,2330-40 Maple Road,Erie,Amherst,14221,76,"2330-40 Maple Road
Amherst, NY 14221
(42.990184009000075, -78.70270900399998)"
